
=== Numerical derivatives ===
 C       34.6873      -30.5370       42.4044
 O      -30.9244       37.8020      -56.3005
 O      -15.5514        1.6839       13.7518
 P       39.4767      -25.6795       56.4894
 H       -0.7877        8.5443      -17.3322
 H      -10.2361        4.9966      -12.7962
 O        4.0327       -9.0284       -7.1685
 O      -12.2952       -4.2529      -13.9224
 H       -8.2654       16.3431       -4.9475

=== Analytic derivatives ===
 C       35.9795      -31.0159       40.8224
 O      -32.5549       37.5114      -55.9988
 O      -14.4571        1.8178       13.2751
 P       40.4518      -27.5789       56.3170
 H       -0.6764        8.6232      -15.8994
 H      -10.2052        5.7539      -12.7460
 O        3.9996       -7.0014       -7.1787
 O      -14.3427       -4.0935      -13.7749
 H       -8.1945       15.9833       -4.8167
